
 ID      PARA1  RISE  COUN  DURATION AMP PCNTS  ABS-ENERGY
  1  2154.6067     9    23       110  61     5 619.194E+00
  1  3274.6360     9     1       110  44     1 619.194E+00
  1  4104.7397    10    40       120  67     6   3.323E+03
  1  4150.5171    25     9        40  51     6  68.208E+00
  1  4297.0063     9    22        66  60     5 586.228E+00
  1  4297.0063     1     8        19  49     1  38.767E+00
  1  4467.9102    30    14        68  56     8 164.298E+00
  1  4516.7397    10    37       128  73     5   6.644E+03
  1  4541.1543    20    28        93  58     9 360.914E+00
  1  4980.6206    17    32        94  60     9 819.403E+00
  1  4980.6206     4    17        77  57     2 313.687E+00
  1  5029.4507    11    69       576  85     7 202.134E+03
  1  5127.1099     5    54       223  80     4  29.681E+03
  1  5151.5244    42    43       284  66    15   5.778E+03
  1  5282.7544    14    21        71  62     6 730.877E+00
  1  5374.3096     8    25        90  58     5 403.258E+00
  1  5420.0874     9    42       180  65     5   2.560E+03
  1  5420.0874     8     3         8  48     3  19.800E+00
  1  5420.0874    15    61       329  76     7  25.402E+03
  1  5444.5024    10    82       783  83     6 215.774E+03
  1  5444.5024     5    46       242  79     4  28.140E+03
  1  5444.5024     8    29        72  67     5   2.188E+03
  1  5517.7466     3    43       259  73     2  10.124E+03
  1  5624.5615     1    46       168  68     2   3.604E+03
  1  5664.2354     3    37       130  79     3  32.353E+03
  1  5664.2354     4     1         4  47     1   5.440E+00
  1  5713.0654     5    37       153  63     4   1.515E+03
  1  5761.8945     1    10        30  55     1 140.105E+00
  1  5786.3091     5    73       760  93     2   1.237E+06
  1  5786.3091    10    39       194  75     5  13.556E+03
  1  5859.5537    12    82       718  93     5   1.967E+06
  1  5908.3838     3    73      1053  96     2   2.588E+06
  1  5957.2129     6    47       316  72     4   6.842E+03
  1  5981.6279     1    43       136  63     2   1.180E+03
  1  6006.0430     1     4        30  49     1  30.377E+00
  1  6054.8721    18    49       215  78     8  23.439E+03
  1  6054.8721     8    10        63  53     3  90.472E+00
  1  6054.8721     2    96       898  83     2 224.131E+03
  1  6106.7539     8     4        15  51     3  28.290E+00
  1  6106.7539   125   111       551  89    36 696.280E+03
  1  6152.5317     9     8        27  52     4  77.246E+00
  1  6161.6875    41    42       217  65    17   3.882E+03
  1  6161.6875     5    59       396  79     4  38.900E+03
  1  6161.6875    19    79       727  81     9  99.426E+03
  1  6161.6875    24    77       705  79    10  97.575E+03
  1  6250.1909     1     1         1  45     1   2.295E+00
  1  6250.1909    24    64       524  79    12  87.014E+03
  1  6250.1909    29   112      1419 100    11  24.865E+06
  1  6250.1909     2    27        73  64     2   1.374E+03
  1  6323.4355    12    70       416  87     5 364.429E+03
  1  6323.4355    29    70       934  81    11 125.857E+03
  1  6323.4355     5    67       405  79     4  48.711E+03
  1  6323.4355     3    71       738  84     3  78.456E+03
  1  6375.3169     8    57       427  71     5  11.339E+03
  1  6375.3169    15    32        85  68     8   5.166E+03
  1  6421.0947     1    32        93  61     1   1.035E+03
  1  6454.6650     8    98       934  84     5 163.117E+03
  1  6454.6650    12    33       181  67     7   1.429E+03
  1  6454.6650    15    14        54  55     6 109.956E+00
  1  6503.4941     1    39       156  60     1   1.037E+03
  1  6503.4941     1    86       955  85     1 236.002E+03
  1  6552.3242     9    10        57  54     4 125.182E+00
  1  6552.3242    30    43       143  68    15   7.860E+03
  1  6591.9985     8    89       982  85     4 444.788E+03
  1  6591.9985     6     1         6  46     1   5.455E+00
  1  6591.9985    27    52       176  66    14   4.812E+03
  1  6591.9985    11    87      1276  85     5 347.722E+03
  1  6640.8276     6    61       484  88     3 304.382E+03
  1  6640.8276    34    82      1052  88    14 755.087E+03
  1  6640.8276    16    69       874  92     6   1.163E+06
  1  6717.1240    18    40       150  70    10   5.432E+03
  1  6717.1240     1    49       235  72     1   7.746E+03
  1  6717.1240     9   101       894  87     5 311.325E+03
  1  6717.1240     9    63       332  76     5  25.150E+03
  1  6765.9541   133   106       746  79    13  64.295E+03
  1  6765.9541     4    47       172  75     3  12.066E+03
  1  6765.9541    13    59       499  84     6 154.405E+03
  1  6765.9541     3    41       432  80     2  49.030E+03
  1  6845.3018     8    38       116  60     5 783.778E+00
  1  6845.3018     5    34       121  62     3   1.472E+03
  1  6884.9761    28    69       271  72    12  20.416E+03
  1  6884.9761    15    58       442  78     7  23.846E+03
  1  6884.9761     4     1         4  47     1   7.923E+00
  1  6884.9761    19    21        80  56     8 272.947E+00
  1  6958.2202     1     1        61  47     1  36.392E+00
  1  6958.2202    14    39       214  69     6   6.426E+03
  1  7007.0498    32    48       286  67    12   7.698E+03
  1  7007.0498    53   117       875  83    20 242.717E+03
  1  7007.0498    10   116       801  85     6 360.171E+03
  1  7055.8794     6   109       833  86     3 425.193E+03
  1  7055.8794    19    71       955  89     8 532.958E+03
  1  7083.3462     6    74       949  85     4 165.719E+03
  1  7083.3462    20    67       324  76    11  39.634E+03
  1  7083.3462    11   101      1171 100     6   6.178E+06
  1  7083.3462    26    19        77  57    11 294.247E+00
  1  7177.9536    22    30       142  66    11   2.754E+03
  1  7187.1089    38    53       333  75    18  43.376E+03
  1  7187.1089    10    82       365  76     5  34.433E+03
  1  7187.1089     2    50       326  81     2  44.093E+03
  1  7235.9390     1     2         4  46     1   4.219E+00
  1  7235.9390    10    97      1030  89     6 472.227E+03
  1  7235.9390     9    19        58  56     6 277.053E+00
  1  7235.9390   426    85       970  75    33  41.473E+03
  1  7303.0796     4    24        71  61     3 468.425E+00
  1  7303.0796    46    37       142  56    15 640.946E+00
  1  7303.0796    46     1       142  45     1 640.946E+00
  1  7303.0796    27    67       610  75    10  48.912E+03
  1  7373.2720    15    76       504  85     9 128.568E+03
  1  7373.2720     7   135      1202  97     5   2.334E+06
  1  7373.2720    23    15        67  55     6 146.888E+00
  1  7431.2573    74    81       490  71    30  29.624E+03
  1  7431.2573    12     9        58  53     3 143.248E+00
  1  7431.2573     5     2        19  49     1  27.262E+00
  1  7431.2573     2    30       104  65     2   1.308E+03
  1  7495.3462    22    93      1021  89    10 897.571E+03
  1  7495.3462    41    65       539  72    18  19.288E+03
  1  7495.3462     6    51       329  68     3   7.268E+03
  1  7495.3462    18    72       715  84     8 148.570E+03
  1  7568.5908     2    51       224  78     2  25.160E+03
  1  7568.5908    12    38       181  71     7   3.835E+03
  1  7568.5908    13    23        62  58     7 626.109E+00
  1  7568.5908     4     2         5  47     2   5.463E+00
  1  7626.5757     5    47       164  74     4  13.013E+03
  1  7626.5757     7    22        72  58     4 388.772E+00
  1  7626.5757    16    91      1303  91     6   1.499E+06
  1  7626.5757    15    47       183  65     8   2.755E+03
  1  7715.0791    18    41       242  73    10  14.011E+03
  1  7715.0791    30    54       359  73    15  16.146E+03
  1  7715.0791    10    79       601  81     4 105.911E+03
  1  7763.9092     5    49       165  76     4  28.107E+03
  1  7763.9092     9     4        13  51     4  30.819E+00
  1  7763.9092    27    47       208  68    10   5.319E+03
  1  7763.9092    13    76      1404  93     5   2.012E+06
  1  7821.8945    11    33       108  71     5  11.879E+03
  1  7821.8945    31    82       903  86    12 455.908E+03
  1  7821.8945    19    21        60  62    10 579.185E+00
  1  7821.8945   118   109      1448  93    37   1.733E+06
  1  7870.7236    18    41       137  67    10   2.384E+03
  1  7870.7236    60    96       822  82    22 266.885E+03
  1  7870.7236    30    83      1538  93    13   1.601E+06
  1  7870.7236    18    93      1180  92    11   1.296E+06
  1  7959.2275    10    58      1187  91     4 579.711E+03
  1  7959.2275    17    53       344  74     9  14.871E+03
  1  7959.2275    12    24        71  62     7 649.092E+00
  1  7959.2275    12    40       157  71     7   4.964E+03
  1  8011.1084     1    28       104  65     2   1.950E+03
  1  8011.1084    10    82       369  84     5 269.379E+03
  1  8011.1084     1    30       140  62     1   1.004E+03
  1  8056.8867     3    37       143  76     2  11.493E+03
  1  8056.8867     1    25        86  70     2   1.639E+03
  1  8056.8867    28    70      1246  84     9 383.004E+03
  1  8056.8867    43   144      1454  88    17   1.069E+06
  1  8133.1831     2    46       262  78     2  33.617E+03
  1  8133.1831    27   101      1082  90    10 899.556E+03
  1  8133.1831    15    98       601  83     9 232.190E+03
  1  8133.1831     9   116       611  82     5 209.265E+03
  1  8203.3750    28    61       351  74    15  21.174E+03
  1  8203.3750    18    92      1238  92    10   1.221E+06
  1  8203.3750     6    66       330  81     4  39.316E+03
  1  8203.3750    10    41       159  74     6  12.487E+03
  1  8252.2051    15    46       265  68     6   8.153E+03
  1  8252.2051     4    37       111  71     3   2.875E+03
  1  8252.2051    35    94      1322  93    14   3.255E+06
  1  8252.2051     5    75       623  82     3 152.613E+03
  1  8310.1904     2     1         4  48     1  18.616E+00
  1  8310.1904     8    33       195  60     5 935.337E+00
  1  8310.1904     1     1         1  46     1   2.365E+00
  1  8310.1904     9    29        92  54     5 368.427E+00
  1  8398.6934     1     1         1  46     1   1.831E+00
  1  8398.6934     1    47       135  64     1   2.516E+03
  1  8398.6934    47    55       299  70    18  14.507E+03
  1  8398.6934    12   127      1463  90     5   1.308E+06
  1  8447.5234     2    23       104  61     2 577.102E+00
  1  8447.5234    16     9        75  49     4 120.135E+00
  1  8447.5234    35    11       149  52     5 289.348E+00
  1  8447.5234     2    26        90  61     2 545.580E+00
  1  8520.7676     1     3        32  50     1  30.109E+00
  1  8520.7676    15    38       184  70     8   5.708E+03
  1  8520.7676    17    78       386  75     8  32.430E+03
  1  8520.7676    40   111       866  84    16 365.231E+03
  1  8594.0127    26    29       118  58     9 514.234E+00
  1  8594.0127    20    13        82  52     6 132.260E+00
  1  8594.0127    20    11        37  55     8 157.104E+00
  1  8594.0127    46    52       293  66    19   5.806E+03
  1  8642.8418    10    45      1232  78     2 111.253E+03
  1  8642.8418    16   118      1410  89     7   1.651E+06
  1  8642.8418     8    28        85  62     5 814.953E+00
  1  8642.8418    37    79      1078  86    15 531.453E+03
  1  8700.8271    10   138      1437  96     4   2.491E+06
  1  8700.8271    22    88      1401 100    10  20.100E+06
  1  8700.8271     1    36       161  69     2   2.817E+03
  1  8700.8271    30     6       188  54     2 596.914E+00
  1  8789.3311    14    83      1219  85     6 480.929E+03
  1  8789.3311    10    81      1104  85     5 480.765E+03
  1  8789.3311     7    88      1081  93     4   1.064E+06
  1  8789.3311     7   194      1497  89     4 739.913E+03
  1  8813.7451    39    96       647  86    15 418.723E+03
  1  8813.7451     2    57       174  77     2  23.086E+03
  1  8813.7451     7    18        85  59     4 412.423E+00
