C:\MistrasGroup\AEwin for USB Version E5.30\EXP3005.DTA
MISTRAS-2001 (r) Location Version 
Version E5.30

Tue May 09 13:48:18 2023

 ID      PARA1  RISE  COUN  DURATION AMP PCNTS  ABS-ENERGY
  1  3442.4880    12     1         1  45     1   0.000E+00
  1  4028.4434    10     8        61  50     4 108.750E+00
  1  4055.9102    43     2        43  48     2  30.549E+00
  1  4370.2505     4     6        17  51     2  43.048E+00
  1  4989.7764     9    24        88  62     4 942.720E+00
  1  5420.0874     7    21        56  65     5 902.453E+00
  1  5420.0874     7     1        56  44     1 902.453E+00
  1  5688.6499     9    14        71  62     6 559.905E+00
  1  5716.1172     9     1        71  43     1 559.905E+00
  1  5761.8945    35     1        35  46     1  15.182E+00
  1  5819.8799     4     1         4  47     1   5.777E+00
  1  5957.2129     5    41       136  77     3  14.362E+03
  1  5957.2129     1     1         1  46     1 365.324E-03
  1  6006.0430     1    14        51  56     1 182.444E+00
  1  6006.0430     1     1        51  44     1 182.444E+00
  1  6006.0430     5    24        68  59     3 356.589E+00
  1  6152.5317    21    40       185  63    11   2.053E+03
  1  6152.5317    28    22        91  56    12 299.750E+00
  1  6152.5317     4     3        14  48     2  23.872E+00
  1  6161.6875     4     6        41  51     2  51.285E+00
  1  6250.1909    22   141      1128  95    10   2.840E+06
  1  6250.1909     4     5        19  49     2  38.466E+00
  1  6396.6797     1    16        51  59     1 337.763E+00
  1  6445.5093    13    29       130  64     7   1.550E+03
  1  6503.4941     1    21        92  64     1   1.186E+03
  1  6503.4941    12     2        16  47     1  21.491E+00
  1  6543.1685    33    15        66  53     8 177.697E+00
  1  6591.9985     5    41       290  77     3  24.028E+03
  1  6616.4131     4     8        26  52     2  85.332E+00
  1  6738.4868     4    53       286  75     3  14.382E+03
  1  6738.4868     6    45       372  69     3   5.567E+03
  1  6741.5386     3    36       170  72     2   4.080E+03
  1  6747.6426    25    24       104  56     8 409.276E+00
  1  6747.6426     8    36       200  71     6   6.975E+03
  1  6747.6426     5     2         8  46     1   8.115E+00
  1  6741.5386    10    29        94  67     6   2.125E+03
  1  6741.5386     3    22        97  64     2   1.205E+03
  1  6741.5386     5    41       241  73     3   8.601E+03
  1  6738.4868     8   183       969  82     4 221.052E+03
  1  6738.4868     8    45       186  72     5   6.115E+03
  1  6738.4868     1    77       705  77     1  93.286E+03
  1  6714.0723     9    81       502  80     6  54.337E+03
  1  6714.0723    31    57       341  71    12  15.855E+03
  1  6717.1240    15    20        53  66     7   1.348E+03
  1  6704.9165    34    75      1797  90    11   1.283E+06
  1  6704.9165    29    60      1029  78    12  74.260E+03
  1  6689.6577     8   110       819  82     4  96.239E+03
  1  6692.7095    11    38       230  67     5   3.869E+03
  1  6689.6577    12    69       386  73     8  19.885E+03
  1  6689.6577     4     7        27  50     2  57.107E+00
  1  6668.2944     9    91       497  83     5 125.473E+03
  1  6665.2422     2     2         6  48     1  13.629E+00
  1  6649.9834    11    38       181  64     5   2.522E+03
  1  6649.9834    16    16        71  57     7 294.552E+00
  1  6643.8794    26    25        95  58    10 699.234E+00
  1  6643.8794    22    46       325  75     9  14.150E+03
  1  6640.8276    63    59       253  66    13   4.791E+03
  1  6640.8276     7   178      1339  95     4   3.642E+06
  1  6640.8276     5    41       117  64     3   1.727E+03
  1  6640.8276     7    16        38  59     4 325.362E+00
  1  6643.8794    17    79       828  82     7 153.326E+03
  1  6643.8794    26    24       137  60     8 679.451E+00
  1  6640.8276    38    81       820  82    12  71.705E+03
  1  6640.8276     9    63       490  85     7  55.065E+03
  1  6640.8276     5    24       118  67     3   2.505E+03
  1  6643.8794    24    35       128  62    12   1.508E+03
  1  6640.8276    16   106      1829  97     7   4.696E+06
  1  6640.8276     4     7        20  55     2  98.618E+00
  1  6640.8276    11    38       191  70     5   4.379E+03
  1  6601.1538     1     6        21  54     1  90.338E+00
  1  6601.1538     8    46       194  72     4   4.644E+03
  1  6601.1538     7    69       335  75     4  15.316E+03
