Maximum Load;5,89;kN
Extension at Maximum Load;0,66;mm
Modulus (E-modulus);0,00;MPa
Modulus (Automatic Young's);55326,50;MPa
Tensile strain at Maximum Load;0,450;%
Tensile strain at Yield (Offset       0,2 %);0,00000;mm/mm
Tensile stress at Yield (Offset       0,2 %);0,00000;MPa
Tensile strain at Break (Standard);0,00450;mm/mm
Tensile stress at Break (Standard);250,00565;MPa

Time;Extension;Load;Strain 1;Tensile stress;Tensile strain
(sec);(mm);(N);(mm/mm);(MPa);(mm/mm)
0,00000;0,00;82,26;0,00003;3,49;0,00000
0,10000;0,00;82,72;0,00001;3,51;0,00000
0,20000;0,00;85,85;0,00003;3,64;0,00001
0,30000;0,01;117,90;0,00002;5,00;0,00004
0,40000;0,01;162,98;0,00002;6,91;0,00008
0,50000;0,02;196,20;0,00003;8,32;0,00011
0,60000;0,02;232,15;0,00000;9,85;0,00013
0,70000;0,02;264,96;0,00004;11,24;0,00016
0,80000;0,03;298,70;0,00001;12,67;0,00018
0,90000;0,03;333,47;0,00003;14,15;0,00020
1,00000;0,03;355,87;0,00001;15,10;0,00023
1,10000;0,04;381,56;0,00004;16,18;0,00025
1,20000;0,04;419,33;0,00001;17,79;0,00027
1,30000;0,04;447,98;0,00003;19,00;0,00029
1,40000;0,05;474,11;0,00002;20,11;0,00032
1,50000;0,05;499,01;0,00000;21,17;0,00034
1,60000;0,05;530,06;0,00003;22,48;0,00036
1,70000;0,06;557,59;0,00001;23,65;0,00038
1,80000;0,06;587,60;0,00003;24,92;0,00041
1,90000;0,06;617,93;0,00001;26,21;0,00043
2,00000;0,07;643,66;0,00001;27,30;0,00045
2,10000;0,07;679,75;0,00002;28,83;0,00048
2,20000;0,07;715,15;0,00002;30,34;0,00050
2,30000;0,08;745,13;0,00002;31,61;0,00052
2,40000;0,08;768,05;0,00001;32,58;0,00054
2,50000;0,08;789,34;0,00002;33,48;0,00057
2,60000;0,09;817,13;0,00001;34,66;0,00059
2,70000;0,09;854,75;0,00002;36,26;0,00061
2,80000;0,09;890,34;0,00002;37,77;0,00063
2,90000;0,10;915,16;0,00001;38,82;0,00066
3,00000;0,10;947,57;0,00003;40,19;0,00068
3,10000;0,10;974,96;0,00000;41,36;0,00070
3,20000;0,11;1004,87;0,00002;42,62;0,00072
3,30000;0,11;1036,53;0,00002;43,97;0,00075
3,40000;0,11;1062,48;0,00001;45,07;0,00077
3,50000;0,12;1083,82;0,00003;45,97;0,00079
3,60000;0,12;1114,04;0,00000;47,26;0,00082
3,70000;0,12;1154,91;0,00005;48,99;0,00084
3,80000;0,13;1180,78;-0,00002;50,09;0,00086
3,90000;0,13;1200,68;0,00006;50,93;0,00088
4,00000;0,13;1235,37;-0,00003;52,40;0,00091
4,10000;0,14;1268,63;0,00004;53,81;0,00093
4,20000;0,14;1302,17;0,00003;55,24;0,00095
4,30000;0,14;1332,95;0,00000;56,54;0,00097
4,40000;0,15;1358,21;0,00004;57,61;0,00100
4,50000;0,15;1378,45;-0,00002;58,47;0,00102
4,60000;0,15;1407,64;0,00007;59,71;0,00104
4,70000;0,16;1444,22;-0,00002;61,26;0,00106
4,80000;0,16;1474,23;0,00009;62,53;0,00109
4,90000;0,16;1502,32;-0,00002;63,73;0,00111
5,00000;0,17;1533,75;-0,00001;65,06;0,00113
5,10000;0,17;1567,20;0,00005;66,48;0,00115
5,20000;0,17;1595,97;0,00000;67,70;0,00118
5,30000;0,18;1620,27;0,00007;68,73;0,00120
5,40000;0,18;1646,61;0,00000;69,85;0,00122
5,50000;0,18;1677,19;0,00001;71,14;0,00125
5,60000;0,19;1707,75;-0,00001;72,44;0,00127
5,70000;0,19;1737,94;0,00004;73,72;0,00129
5,80000;0,19;1770,86;0,00003;75,12;0,00131
5,90000;0,20;1797,83;0,00003;76,26;0,00134
6,00000;0,20;1823,80;-0,00001;77,36;0,00136
6,10000;0,20;1858,79;0,00005;78,85;0,00138
6,20000;0,21;1892,43;0,00000;80,27;0,00141
6,30000;0,21;1913,09;0,00002;81,15;0,00143
6,40000;0,21;1945,64;0,00004;82,53;0,00145
6,50000;0,22;1981,83;-0,00001;84,06;0,00147
6,60000;0,22;2003,86;0,00005;85,00;0,00149
6,70000;0,22;2025,50;-0,00001;85,92;0,00152
6,80000;0,23;2062,62;0,00005;87,49;0,00154
6,90000;0,23;2097,64;0,00001;88,98;0,00156
7,00000;0,23;2121,86;0,00002;90,00;0,00159
7,10000;0,24;2157,20;0,00002;91,50;0,00161
7,20000;0,24;2187,88;0,00000;92,81;0,00163
7,30000;0,24;2209,30;0,00004;93,71;0,00165
7,40000;0,25;2237,70;0,00001;94,92;0,00168
7,50000;0,25;2274,42;0,00004;96,48;0,00170
7,60000;0,25;2302,41;-0,00001;97,66;0,00172
7,70000;0,26;2322,42;0,00004;98,51;0,00174
7,80000;0,26;2363,00;0,00001;100,23;0,00177
7,90000;0,26;2400,86;0,00002;101,84;0,00179
8,00000;0,27;2424,22;0,00003;102,83;0,00181
8,10000;0,27;2446,21;0,00000;103,76;0,00184
8,20000;0,27;2474,91;0,00003;104,98;0,00186
8,30000;0,28;2510,21;-0,00001;106,48;0,00188
8,40000;0,28;2538,56;0,00004;107,68;0,00190
8,50000;0,28;2573,33;0,00001;109,16;0,00192
8,60000;0,29;2601,66;0,00002;110,36;0,00195
8,70000;0,29;2619,91;0,00001;111,13;0,00197
8,80000;0,29;2648,64;0,00003;112,35;0,00199
8,90000;0,30;2687,29;0,00002;113,99;0,00202
9,00000;0,30;2724,65;0,00002;115,57;0,00204
9,10000;0,30;2737,26;0,00002;116,11;0,00206
9,20000;0,31;2766,74;0,00002;117,36;0,00208
9,30000;0,31;2808,10;0,00003;119,11;0,00211
9,40000;0,31;2835,50;0,00000;120,28;0,00213
9,50000;0,32;2859,51;0,00003;121,29;0,00215
9,60000;0,32;2886,15;0,00001;122,42;0,00218
9,70000;0,32;2917,63;0,00003;123,76;0,00220
9,80000;0,33;2944,17;0,00002;124,89;0,00222
9,90000;0,33;2983,69;0,00002;126,56;0,00224
10,00000;0,33;3020,15;0,00002;128,11;0,00227
10,10000;0,34;3033,45;0,00003;128,67;0,00229
10,20000;0,34;3054,05;0,00003;129,55;0,00231
10,30000;0,34;3096,51;0,00000;131,35;0,00233
10,40000;0,35;3134,76;0,00004;132,97;0,00236
10,50000;0,35;3156,68;0,00001;133,90;0,00238
10,60000;0,35;3185,90;0,00002;135,14;0,00240
10,70000;0,36;3216,07;0,00001;136,42;0,00242
10,80000;0,36;3243,35;0,00002;137,58;0,00245
10,90000;0,36;3273,00;0,00004;138,83;0,00247
11,00000;0,37;3305,54;0,00002;140,21;0,00249
11,10000;0,37;3333,56;0,00001;141,40;0,00251
11,20000;0,37;3353,94;0,00004;142,27;0,00254
11,30000;0,38;3392,05;0,00002;143,88;0,00256
11,40000;0,38;3430,83;0,00002;145,53;0,00258
11,50000;0,38;3452,09;0,00002;146,43;0,00261
11,60000;0,39;3471,74;0,00002;147,26;0,00263
11,70000;0,39;3503,59;0,00001;148,61;0,00265
11,80000;0,39;3542,10;0,00004;150,25;0,00267
11,90000;0,40;3563,33;0,00000;151,15;0,00270
12,00000;0,40;3595,88;0,00003;152,53;0,00272
12,10000;0,40;3629,96;0,00002;153,97;0,00274
12,20000;0,41;3650,73;0,00003;154,86;0,00276
12,30000;0,41;3676,71;0,00002;155,96;0,00279
12,40000;0,41;3718,84;0,00003;157,74;0,00281
12,50000;0,42;3751,77;0,00002;159,14;0,00283
12,60000;0,42;3770,39;0,00003;159,93;0,00285
12,70000;0,42;3803,18;0,00002;161,32;0,00288
12,80000;0,43;3838,93;0,00003;162,84;0,00290
12,90000;0,43;3858,77;0,00002;163,68;0,00292
13,00000;0,43;3880,28;0,00003;164,59;0,00295
13,10000;0,44;3919,91;0,00002;166,27;0,00297
13,20000;0,44;3951,62;0,00004;167,62;0,00299
13,30000;0,44;3972,36;0,00002;168,50;0,00301
13,40000;0,45;4010,17;0,00003;170,10;0,00304
13,50000;0,45;4042,16;0,00003;171,46;0,00306
13,60000;0,45;4071,55;0,00003;172,71;0,00308
13,70000;0,46;4094,14;0,00003;173,66;0,00311
13,80000;0,46;4123,26;0,00002;174,90;0,00313
13,90000;0,46;4154,46;0,00004;176,22;0,00315
14,00000;0,47;4176,95;0,00002;177,18;0,00317
14,10000;0,47;4213,17;0,00004;178,71;0,00319
14,20000;0,47;4246,33;0,00003;180,12;0,00322
14,30000;0,48;4274,66;0,00002;181,32;0,00324
14,40000;0,48;4294,25;0,00004;182,15;0,00326
14,50000;0,48;4326,88;0,00001;183,54;0,00328
14,60000;0,49;4370,60;0,00005;185,39;0,00331
14,70000;0,49;4389,63;0,00001;186,20;0,00333
14,80000;0,49;4414,16;0,00005;187,24;0,00335
14,90000;0,50;4444,02;0,00001;188,51;0,00338
15,00000;0,50;4473,99;0,00005;189,78;0,00340
15,10000;0,50;4497,78;0,00001;190,79;0,00342
15,20000;0,51;4537,70;0,00005;192,48;0,00344
15,30000;0,51;4570,09;0,00002;193,85;0,00347
15,40000;0,51;4585,76;0,00004;194,52;0,00349
15,50000;0,52;4623,71;0,00002;196,13;0,00351
15,60000;0,52;4665,10;0,00004;197,88;0,00354
15,70000;0,52;4692,00;0,00002;199,02;0,00356
15,80000;0,53;4702,16;0,00005;199,46;0,00358
15,90000;0,53;4729,95;0,00000;200,63;0,00360
